feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label
10,37,48,45,12,44,12,1
19,17,6,12,39,11,21,0
48,18,25,49,17,9,36,1
6,2,44,20,18,22,30,0
40,34,46,36,44,37,15,1
8,18,9,18,42,49,29,0
31,13,8,2,38,5,38,0
24,15,37,12,6,40,29,0
3,34,35,35,15,48,8,1
25,39,32,19,31,43,45,1
45,4,23,47,5,45,47,1
35,37,20,29,4,4,42,0
12,21,20,35,25,26,6,0
13,8,21,44,42,46,45,1
35,10,48,43,11,33,38,1
44,27,43,34,40,3,11,1
21,19,17,22,42,13,41,0
7,15,20,37,37,16,36,0
46,35,10,38,12,5,41,1
10,27,27,31,24,45,33,1
11,40,33,38,26,5,42,1
39,26,34,36,12,21,48,1
6,45,10,31,2,47,18,0
12,27,47,35,37,17,23,1
36,30,2,31,15,26,12,0
16,4,2,21,8,30,42,0
38,12,19,49,44,30,9,1
1,17,25,27,23,11,27,0
22,47,32,48,26,14,49,1
39,24,35,21,19,7,48,1
43,18,5,35,18,30,32,1
8,34,49,47,8,40,38,1
22,17,8,45,9,14,43,0
15,39,3,20,26,26,44,0
19,27,19,19,13,30,21,0
28,45,24,15,26,13,20,0
48,48,29,47,44,18,10,1
41,19,19,25,40,28,15,1
31,44,3,35,37,14,31,1
3,36,26,32,35,29,43,1
42,18,29,6,20,41,34,1
12,6,43,5,4,28,22,0
25,11,42,24,5,46,18,0
3,6,12,42,40,37,25,0
35,27,49,14,47,33,6,1
42,11,29,24,39,12,42,1
30,24,43,7,24,12,18,0
29,17,14,40,29,32,13,0
47,28,13,40,45,14,26,1
2,29,1,6,27,4,21,0
35,41,45,25,2,9,42,1
36,21,23,36,32,17,12,1
14,27,28,32,48,21,21,1
20,15,39,44,7,13,44,1
28,42,2,44,38,47,4,1
35,27,24,44,23,12,42,1
6,20,29,3,23,26,49,0
47,20,15,23,2,31,32,0
7,20,34,35,48,46,32,1
29,13,45,46,28,32,17,1
45,20,25,3,45,28,46,1
19,27,36,32,42,10,30,1
43,6,45,21,31,8,5,0
14,41,6,16,15,28,32,0
40,2,48,49,45,24,4,1
48,45,2,31,45,11,7,1
13,21,1,21,39,28,42,0
24,15,10,38,4,19,42,0
25,21,6,1,19,29,33,0
5,33,20,47,2,44,6,0
39,21,41,25,23,34,39,1
35,44,31,11,40,18,22,1
10,9,37,29,7,26,27,0
12,27,20,4,19,8,21,0
8,8,27,6,41,20,45,0
35,25,43,45,28,14,43,1
17,12,6,7,42,12,36,0
4,15,14,5,47,35,23,0
44,12,37,1,36,38,36,1
39,19,12,40,25,5,43,1
39,8,43,41,45,25,48,1
8,27,45,12,30,9,12,0
47,12,12,4,36,23,17,0
21,12,2,36,13,8,38,0
2,14,42,1,26,1,46,0
14,6,7,6,12,14,4,0
22,7,13,48,13,47,16,0
42,24,4,42,24,20,27,1
5,44,36,7,31,3,11,0
14,48,32,11,2,4,24,0
38,37,13,18,33,33,41,1
39,41,43,19,42,17,29,1
3,31,33,23,15,14,8,0
4,38,3,42,23,23,26,0
46,13,29,27,3,9,47,0
22,5,33,19,48,36,25,1
34,32,31,39,2,5,9,0
14,34,6,25,19,13,20,0
46,20,8,46,22,1,19,0
12,24,35,34,46,7,44,1
29,15,18,1,44,14,22,0
18,18,37,1,12,13,38,0
13,48,25,48,44,39,9,1
11,3,26,23,6,18,30,0
7,1,2,32,41,34,20,0
15,37,24,48,48,28,6,1
16,1,45,43,42,3,21,0
29,30,6,25,31,9,26,0
13,49,48,44,4,47,34,1
10,2,28,34,34,28,29,0
43,41,17,42,30,44,17,1
31,47,37,39,46,48,9,1
9,25,44,34,6,45,46,1
15,25,37,38,28,30,4,1
42,40,24,13,32,41,21,1
13,17,13,47,46,43,9,1
19,10,48,35,9,28,39,1
17,25,32,31,28,41,48,1
12,1,15,12,24,49,30,0
37,23,35,49,12,2,23,1
8,38,41,23,40,19,47,1
27,32,8,17,4,8,43,0
9,6,32,38,6,5,26,0
32,13,37,36,21,8,33,1
22,39,24,18,37,34,4,1
7,4,8,11,29,28,29,0
16,2,2,28,47,5,18,0
42,9,16,25,14,40,43,1
37,31,44,22,44,9,42,1
1,33,33,5,25,12,14,0
45,42,16,22,48,13,43,1
46,4,42,29,1,8,12,0
19,18,17,14,46,40,30,1
16,5,46,46,42,4,5,0
23,7,34,14,39,49,38,1
19,33,1,17,27,5,23,0
15,18,22,19,31,17,10,0
42,13,45,32,26,43,26,1
32,45,2,21,6,29,28,0
9,10,10,30,39,7,37,0
33,31,46,13,22,23,32,1
26,23,16,21,35,8,4,0
6,27,23,42,11,22,44,0
19,45,8,44,39,40,41,1
10,41,7,37,14,48,38,1
17,44,20,29,31,4,8,0
35,48,48,19,39,44,29,1
23,2,25,23,1,48,12,0
43,34,26,33,14,35,33,1
37,11,1,37,12,9,27,0
41,25,47,36,47,28,31,1
46,46,20,47,31,2,14,1
31,46,22,39,31,42,21,1
42,30,49,20,21,45,4,1
39,36,22,7,37,42,15,1
20,48,33,16,28,10,13,0
5,36,26,11,16,33,38,0
39,14,37,9,24,20,2,0
